Sektion	Spørgsmål	Opendoor	Offerpad	Zillow	365 Ejendomme	Hvorfor 365 spørger	Placering / detalje
Adresse (screen 1)	Adresse	Ja	Ja	Ja	Ja	Trigger OIS+BBR-opslag, comparable handler, postnr-baseret leje-rate.	MUST. Bruger lander direkte på adresse-input.
Bekraeft (screen 2)	Boligtype	Auto	Manuel	Nej	Auto+editable	Eksklusionskriterium — vi køber primært ejerlejligheder.	Bruger ser BBR-data og bekræfter.
Bekraeft (screen 2)	Boligareal (kvm)	Auto	Manuel	Optional	Auto+editable	MUST for kr/m²-beregning.	BBR-værdi vises, kan rettes.
Bekraeft (screen 2)	Antal værelser	Manuel	Manuel	Optional	Auto+editable	Udlejnings-rate (3v vs 2v har 15% premium).	BBR-værdi vises.
Bekraeft (screen 2)	Byggeår	Auto	Manuel	Optional	Auto+editable	Standardiseret risiko-faktor — pre-1970 = højere EF-vedligehold.	BBR-værdi vises.
Bekraeft (screen 2)	Etage	Nej	Nej	Nej	Auto+editable	Udlejnings-pris (høje etager + lys = premium), tilgængelighed.	BBR-værdi vises.
Bekraeft (screen 2)	Elevator	Nej	Nej	Nej	Auto+editable	Udlejnings-prestige, kritisk for ældre målgruppe.	BBR-værdi vises.
Bekraeft (screen 2)	Altan eller terrasse	Nej	Nej	Nej	Auto+editable	Premium-faktor (5-10% på køb og leje).	BBR-værdi vises.
Bekraeft (screen 2)	Energimærke (A-G)	Nej	Nej	Nej	Auto+editable	Varme-prognose + EF-renoverings-risiko.	BBR-værdi vises.
Kontakt (screen 3)	Fulde navn	Slut	Slut	Optional	Tidlig — påkrævet	Lead-relation, personlig henvendelse.	Påkrævet for at fortsætte.
Kontakt (screen 3)	Email	Slut	Slut	Optional	Tidlig	Tilbud-leverance, opfølgning.	Email eller telefon — mindst én.
Kontakt (screen 3)	Telefon	Slut	Slut	Optional	Tidlig	Til at aftale besigtigelse.	Email eller telefon — mindst én.
Timing (screen 4)	Hvornår vil du flytte	Slut nogle	Tidligt-mid	Nej	Tidlig (5 chips)	Planlægning + overtagelses-bonus. Påvirker pris ±15.000 kr.	Kvalificerer haste-niveau.
Boligen (screen 5)	Køkken: stand (4 niveauer)	Overordnet	Overordnet	Nej	Foto-grid	MUST for refurb-cost. Køkken = top-3 dyreste.	Screen 5 — visuel + engagement start.
Boligen (screen 5)	Køkken: årgang	Nej	Nej	Nej	Ja (valgfri)	Forfiner refurb-estimat.	Screen 5.
Boligen (screen 6)	Bad: stand (4 niveauer)	Overordnet	Overordnet	Nej	Foto-grid	MUST. Bad er dyrest + fugt-risiko er largest unknown.	Screen 6.
Boligen (screen 6)	Bad: årgang	Nej	Nej	Nej	Ja (valgfri)	Forfiner refurb-estimat.	Screen 6.
Boligen (screen 7)	Øvrige rum: stand (4 niveauer)	Overordnet (per rum)	Overordnet	Nej	Chip-grid (kombineret)	Gulv + maling refurb for stue/sov/gang.	Screen 7 — én samlet vurdering. Brydeer 4-rum-i-træk monotonien.
Sidste detaljer (screen 8)	Hvidevarer der følger med (8 chip)	Nej	Nej	Nej	Ja	Marginal pris-påvirkning. Mest brugbar for udlejnings-pakke.	Optional-bucket.
Sidste detaljer (screen 8)	Andre fotos (1 samlet upload)	Nej	Nej	Nej	Ja (op til 10)	Altan, plantegning, entré eller andet. Fleksibelt.	Forenklet fra 4 slots til 1 (maj 2026).
Sidste detaljer (screen 8)	Notes (fri tekst)	Nej	Sometimes	Nej	Ja (valgfri)	Catch-all for ting der ikke passer i felter.	Optional.
Sidste detaljer (screen 8)	Boligens specielle ting	Nej	Nej	Nej	Multi-select	Solceller = energi-værdi. Aktuelt udlejet = kritisk.	Multi-select chips.
Sidste detaljer (screen 8)	Forhold der kan påvirke prisen	Nej	Nej	Nej	Multi-select	Negative pris-justeringer. MUST vi kender før estimat.	Multi-select chips.
Sidste detaljer — udlejning (cond.)	Månedlig leje	Nej	Nej	Nej	Ja	Cash-flow vurdering.	Conditional reveal.
Sidste detaljer — udlejning (cond.)	Depositum	Nej	Nej	Nej	Ja	Lovgivnings-krav check.	Conditional reveal.
Sidste detaljer — udlejning (cond.)	Forudbetalt leje	Nej	Nej	Nej	Ja	Cash-flow + opsigelses-friktion.	Conditional reveal.
Sidste detaljer — udlejning (cond.)	Startdato	Nej	Nej	Nej	Ja	Tidsdimension.	Conditional reveal.
Sidste detaljer — udlejning (cond.)	Uopsigelig fra udlejer (mdr)	Nej	Nej	Nej	Ja/Nej + mdr	KRITISK — bestemmer om vi kan disponere over boligen.	Conditional reveal.
Sidste detaljer — udlejning (cond.)	Lejekontrakt upload	Nej	Nej	Nej	Ja (valgfri)	Verificering + fund af specialvilkår.	Conditional reveal.
Udgifter (screen 9)	Fællesudgifter til ejerforeningen	Nej	Nej	Nej	Påkrævet	MUST. Direkte input til drift-beregning.	Eneste required-felt.
Udgifter (screen 9)	Grundskyld	Nej	Nej	Nej	Ja	MUST. Drift.	Kerne-udgifter 2x2-grid.
Udgifter (screen 9)	Renovation	Nej	Nej	Nej	Ja	Drift. Ofte inkl. i fællesudg.	Kerne-udgifter 2x2-grid.
Udgifter (screen 9)	Grundfond	Nej	Nej	Nej	Ja	EF reserve-bidrag pr. år.	Kerne-udgifter 2x2-grid.
Udgifter (screen 9)	Vand (acontobeløb? + årlig regning)	Nej	Nej	Nej	Ja/Nej + beløb	MUST. Drift.	Egen section.
Udgifter (screen 9)	Varme (acontobeløb? + årlig regning)	Nej	Nej	Nej	Ja/Nej + beløb	MUST. Drift.	Egen section.
Udgifter (screen 9)	Hæftelse tinglyst (engangsbeløb)	Nej	Nej	Nej	Ja	Tinglyst sikkerhed foran realkreditten.	Trækkes fra låneprovenuet.
Udgifter (screen 9)	Fælleslån i ejerforeningen (din andel)	Nej	Nej	Nej	Ja/Nej + andel	Flyttet fra Sidste detaljer (maj 2026). Direkte påvirkning på netto-provenu.	Money-context er rette sted.
Udgifter (screen 9)	Gæld til ejerforening (skyldige bidrag)	Nej	Nej	Nej	Ja/Nej + beløb	Nyt felt (maj 2026). Trækkes fra netto-provenu.	Conditional beløb-felt hvis Ja.
Udgifter (screen 9)	Eksisterende restgæld på realkreditlån	Nej	Nej	Nej	Ja	Påvirker netto-provenu og forventning.	Egen "Realkreditlån"-section nederst.
Udgifter (screen 9)	Øvrige driftudgifter (dynamic list)	Nej	Nej	Nej	Ja (+ knap)	Fleksibel input. 7 kategorier.	Tilføj kun det der gælder.
Udgifter (screen 9)	Dokumentation upload (PDF/JPG)	Nej	Nej	Nej	Ja (valgfri)	Manual-validering af tal. Nice-to-have.	Valgfri.
Efter salg (screen 10)	Hvad skal du efter salget (4 valg)	Nej	Nej	Nej	Ja	MUST. Triggers sale-leaseback eller udflytter-product.	Flytter / Bliv boende / Lej anden / Ved ikke endnu.
Ny bolig (screen 11, cond.)	Områder	Nej	Nej	Nej	Chip	Match mod vores portefølje.	Conditional.
Ny bolig (screen 11, cond.)	Antal værelser + kvm min	Nej	Nej	Nej	Ja	Match-kriterier.	Conditional.
Ny bolig (screen 11, cond.)	Max månedlig husleje	Nej	Nej	Nej	Ja	Budget-grænse.	Conditional.
Ny bolig (screen 11, cond.)	Must-have features (8 chip)	Nej	Nej	Nej	Multi-select	Match-kriterier.	Conditional.
Ny bolig (screen 11, cond.)	Indflytnings-timing	Nej	Nej	Nej	Ja	Logistik mod salgsdato.	Conditional.

FJERNET FRA FLOW (maj 2026):
Antal ejere (samejer?)	Var på Kontakt — ligegyldigt for estimat. Tages ved besigtigelse hvis relevant.
Hvor længe har du boet der	Var på Kontakt — ligegyldigt for estimat.
Tag-tilstand i bygningen	Var på Sidste detaljer — for indirekte til at indgå i pricing-model.
Hvad er hovedgrunden til at sælge	Var screen 11 — vi udleder det fra timing + efter-salg svar i stedet.
Hvornår vil du overtage (slider)	Var på Estimat-skærm — overtagelses-detaljer tages ved besigtigelse.
Køkken-mærke (HTH/Svane/IKEA)	Brugte det ikke i pricing-model. Kunne ikke fact-checkes.
4 separate andre-foto-slots	Forenklet til ét samlet upload-felt med op til 10 fotos.
